,train,val,test
N004a039,False,False,True
N004a058,False,False,True
N004a064,False,False,True
N004a065,False,False,True
N005a009,False,False,True
N004a122,False,False,True
N005a015,False,False,True
N001a002,False,False,True
N003a001,False,False,True
N004a130,False,False,True
N006a010,False,False,True
N004a003,False,False,True
N004a019,False,False,True
N004a062,False,False,True
N004a009,False,False,True
N004a112,False,False,True
N004a067,False,False,True
F018a12,False,False,True
F033a22,False,False,True
F017a02,False,False,True
F006a09,False,False,True
F006a10,False,False,True
F007a10,False,False,True
F034a06,False,False,True
F030a11,False,False,True
F030a02,False,False,True
F006a03,False,False,True
F010a03,False,False,True
F018a10,False,False,True
F017a07,False,False,True
F018a13,False,False,True
F013a02,False,False,True
F033a05,False,False,True
F033a20,False,False,True
F030a14,False,False,True
F013a05,False,False,True
F018a11,False,False,True
F007a15,False,False,True
