,train,val,test
F030a02,True,False,False
F030a03,True,False,False
F030a04,True,False,False
F030a05,True,False,False
F030a06,True,False,False
F030a09,True,False,False
F030a10,True,False,False
F030a11,True,False,False
N004a116,False,True,False
N004a037,False,True,False
N004a058,False,True,False
N003a001,False,True,False
N005a019,False,True,False
N004a070,False,True,False
N004a047,False,True,False
N004a061,False,True,False
N007a002,False,True,False
N004a087,False,True,False
N004a014,False,True,False
N004a031,False,True,False
N005a018,False,True,False
N004a005,False,True,False
N004a026,False,True,False
N004a009,False,True,False
N004a019,False,True,False
N004a053,False,True,False
N004a038,False,True,False
N011a001,False,True,False
N004a090,False,True,False
N004a114,False,True,False
N004a077,False,True,False
N004a018,False,True,False
N004a024,False,True,False
N004a094,False,True,False
N004a020,False,True,False
F034a11,False,True,False
F015a01,False,True,False
F033a02,False,True,False
F033a25,False,True,False
F017a05,False,True,False
F033a11,False,True,False
F012a04,False,True,False
F021a03,False,True,False
F030a13,False,True,False
F017a02,False,True,False
F018a10,False,True,False
F007a21,False,True,False
F030a01,False,True,False
F034a09,False,True,False
F030a08,False,True,False
F013a15,False,True,False
F021a01,False,True,False
F007a12,False,True,False
F018a13,False,True,False
F033a23,False,True,False
F030a15,False,True,False
N005a008,False,False,True
N004a079,False,False,True
N004a022,False,False,True
N004a052,False,False,True
N005a013,False,False,True
N005a014,False,False,True
N004a006,False,False,True
N005a006,False,False,True
N004a030,False,False,True
N006a008,False,False,True
N004a015,False,False,True
N004a110,False,False,True
N004a093,False,False,True
N005a002,False,False,True
N004a055,False,False,True
N004a097,False,False,True
N006a007,False,False,True
N004a120,False,False,True
N009a001,False,False,True
N004a119,False,False,True
N004a069,False,False,True
N004a104,False,False,True
N004a100,False,False,True
N004a130,False,False,True
N004a028,False,False,True
N004a080,False,False,True
N004a048,False,False,True
F033a19,False,False,True
F007a15,False,False,True
F013a06,False,False,True
F017a08,False,False,True
F011a01,False,False,True
F007a09,False,False,True
F033a15,False,False,True
F030a18,False,False,True
F013a08,False,False,True
F033a09,False,False,True
F033a28,False,False,True
F033a04,False,False,True
F007a16,False,False,True
F018a02,False,False,True
F009a02,False,False,True
F007a13,False,False,True
F033a27,False,False,True
F010a01,False,False,True
F033a16,False,False,True
F030a07,False,False,True
F007a22,False,False,True
